ticker,fiscal_period,publication_date,book_equity,shares_outstanding,earnings_per_share,revenue,net_income,total_assets,total_liabilities,currency,monetary_unit_multiplier,shares_unit_multiplier,reporting_scope,source_id,source_url,source_sha256,source_document,page_reference,notes,effective_from,effective_date_source
MTNN,2023-12-31,,-45404000000,20966750314,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,mtnn-annual-report-2023,https://www.mtn.ng/wp-content/uploads/2024/04/MTN-Nigeria-2023-Annual-Report.pdf?x53449,bae90392914247ade66ac652ca492a07b5c15208fcc9b6c8877f0852d2f7bd6c,mtnn-annual-report-2023.pdf,book_equity p.79; shares_outstanding p.103; unit p.79,"Group equity attributable to owners, excluding non-controlling interest. Period-end shares outstanding equal 20,995,560,103 issued less 28,809,789 treasury shares. Negative book equity is retained and must be excluded from positive-B/M sorts. Board approval 2024-02-28 does not establish public availability; 90-day publication lag applies.",2024-03-30,FIXED_LAG_ESTIMATE
WAPCO,2023-12-31,,435051865000,16107795721,,,,,,NGN,1000,1,consolidated_attributable_to_owners,wapco-annual-report-2023,https://www.lafarge.com.ng/sites/nigeria/files/2024-04/lafarge-africa-plc-2023-annual-report-accounts.pdf,73c075e8a9936bfeadd34ff106121a129e7ea02bcee25c74f927d73ad12944bd,wapco-annual-report-2023.pdf,book_equity p.73; shares_outstanding p.30; unit p.73,"Capital and reserves attributable to owners. Consolidated statement reports N'000; directors' report states 16,107,795,721 issued and fully paid ordinary shares. Board authorised the report on 2024-02-28, but public availability date was not independently established; 90-day fixed-lag policy applies.",2024-03-30,FIXED_LAG_ESTIMATE
AIICO,2023-12-31,,51395114000,36605276013,,,,,,NGN,1000,1,consolidated_attributable_to_owners,aiico-annual-report-2023,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_Insurance_2023_Annual_Report.pdf,e244e4b0b67e341d4f160d61bcf0e4ad04d4084ae8353c95a1e06d467c5aa3cb,aiico-annual-report-2023.pdf,book_equity p.131; shares_outstanding p.200; unit p.131,"Group equity attributable to owners, excluding non-controlling interest. EPS note reports 36,605,276 thousand shares; exact unchanged issued count is carried from the share-capital record. Board approval 2024-04-18 does not establish public availability; 90-day publication lag applies.",2024-03-30,FIXED_LAG_ESTIMATE
ACCESSCORP,2022-12-31,,1208584000000,35545225622,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,accesscorp-annual-report-2022,https://theaccesscorporation.com/wp-content/uploads/2023/07/ACCESS-HOLDINGS-PLCS-2022-ANNUAL-REPORT.pdf,f9ff8210f654fbf697fda53eb7e007505040f75350d4b7e19c1309724860b424,accesscorp-annual-report-2022.pdf,book_equity p.156; shares_outstanding p.390; unit p.156,"Group equity attributable to owners is N'million 1,208,584, excluding NCI. Note 38 reports 35,545,225,622 issued and fully paid ordinary shares. Board approval 2023-01-30 is not treated as filing; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
FBNH,2023-12-31,,1718578000000,35895292792,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,fbnh-annual-report-2023,https://first-holdco.com/downloads/2024/FBNHoldings_Plc_2023_Annual_Report_and_Accounts.pdf,8b079c506b2db29ca11d8091c47f0a17f719139663a845b1f83d58fd6cf665c6,fbnh-annual-report-2023.pdf,book_equity p.135; shares_outstanding p.314; unit p.135,"Group equity attributable to owners, excluding non-controlling interests. Statement of financial position reports N'millions; the ratio glossary states 35,895,292,792 outstanding shares. Publication date not independently established; 90-day fixed-lag policy applies.",2024-03-30,FIXED_LAG_ESTIMATE
MTNN,2022-12-31,,334237000000,20325703261,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,mtnn-annual-report-2022,https://www.mtn.ng/wp-content/uploads/2023/07/MTN-Nigeria-Annual-Report-2022.pdf?x53449,3a33c72b79a59f91cda98f43c01311e457cd1aee085e0552f5a61ac8a75743ab,mtnn-annual-report-2022.pdf,book_equity p.146; shares_outstanding p.209; unit p.146,"Group equity attributable to owners, excluding non-controlling interest. Period-end shares outstanding equal 20,354,513,050 issued less 28,809,789 treasury shares. Board approval 2023-01-30 does not establish public availability; 90-day publication lag applies.",2023-03-31,FIXED_LAG_ESTIMATE
DANGCEM,2022-12-31,2023-02-27,1054369000000,16873559251,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,dangcem-annual-report-2022,https://www.dangotecement.com/wp-content/uploads/2023/04/DCP-2022-Annual-Report-UPDATED.pdf,6a3d12dfb89f691d3f6dab97b0c7e33e286f81620b0daeb702f34a6f957e06b5,dangcem-annual-report-2022.pdf,book_equity p.112; shares_outstanding p.95; unit p.112,"Group equity attributable to owners, excluding non-controlling interest. Residual issued and fully paid shares after treasury-share buybacks. Publication date is the official FY2022 audited-results release date.",2023-02-27,ACTUAL_PUBLICATION_DATE
FBNH,2022-12-31,,983629000000,35895292792,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,fbnh-annual-report-2022,https://first-holdco.com/wp-content/uploads/2025/10/FBNHoldings-Plc_2022_Annual_Report.pdf,6cf201df511eadb53f85fdd82120702fb6abbada68c1681ebb7305c129e8b75d,fbnh-annual-report-2022.pdf,book_equity p.131; shares_outstanding p.261; unit p.131,"Group equity attributable to owners, excluding non-controlling interests. Statement of financial position reports N'millions; issued and fully paid ordinary shares are 35.9 billion and the share-capital note reports 35,895 million. Publication date not independently established; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
ZENITHBANK,2023-12-31,,2321752000000,31396493787,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,zenithbank-annual-report-2023,https://www.digital.zenithbank.com/pdfs/Annual-Report-2023.pdf,1cd1e499d14ab0043fc7591a34cec85b710375838cfd2944a8487ba856e664ca,zenithbank-annual-report-2023.pdf,book_equity p.113; shares_outstanding p.53; unit p.113,"Consolidated statement reports equity attributable to parent holders N'million 2,321,752, excluding NCI. Shareholding analysis sums to 31,396,493,787 shares as at 31 December 2023. Board approval 2024-01-31 is not treated as filing; 90-day fixed-lag policy applies.",2024-03-30,FIXED_LAG_ESTIMATE
SEPLAT,2023-12-31,,1588845000000,588444561,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,seplat-annual-report-2023,https://www.seplatenergy.com/media/54qbdvut/7529-sep-ar23-24-07-03_web_compressed.pdf,ab7f34c4e66e637e5d08ad9ed7e5f5bd847f52bd26631c13893dd1d9a99fa9d4,seplat-annual-report-2023.pdf,book_equity p.94; shares_outstanding p.123; unit p.94,"Consolidated statement reports total shareholders' equity N'million 1,612,635 including NCI 23,790; parent-attributable book equity is N'million 1,588,845 (total less NCI). The 2023 report carries forward 588,444,561 shares in issue after treasury shares. Board approval 2024-02-29 is not treated as filing; 90-day fixed-lag policy applies.",2024-03-30,FIXED_LAG_ESTIMATE
UBA,2023-12-31,2024-04-08,1962162000000,34199421366,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,uba-annual-report-2023,https://www.ubagroup.com/wp-content/uploads/2024/05/UBA-Plc-2023-Annual-Report-and-Accounts.pdf,d356321e7906be2a2dfbdbf7f93e99b023edf46965715bdd38a9671ff4aac00c,uba-annual-report-2023.pdf,book_equity p.93; shares_outstanding p.234; unit p.93,"Group equity attributable to owners is N'million 1,962,162, excluding NCI. Note 41 states 34,199,421,366 issued and fully paid shares. NGX company profile lists the audited FY2023 statement as uploaded 2024-04-08.",2024-04-08,ACTUAL_PUBLICATION_DATE
UBA,2022-12-31,,887297000000,34199421366,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,uba-annual-report-2022,https://www.ubagroup.com/wp-content/uploads/2023/04/UBA-ANNUAL-REPORT-ACCOUNTS-2022.pdf,8835bc14f16a5e1afbafca8dd65f84948e9f0d16a811ab235c39ffa0a6e67e89,uba-annual-report-2022.pdf,book_equity p.92; shares_outstanding p.256; unit p.92,"Equity attributable to owners of the parent, excluding non-controlling interests. Consolidated statement reports N'millions; shareholder-information page reports 34,199,421,366 shares outstanding. Publication date not independently established; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
TOTAL,2022-12-31,2023-03-30,50286810000,339521837,,,,,,NGN,1000,1,company_as_reported_single_statement_scope,total-annual-report-2022,https://cardinalstoneregistrars.com/wp-content/uploads/2023/01/TotalEnergies%20Annual%20Reports%202022.pdf,e8de12d1765ba9bcd75103db82f93769add9395503313ac89a8191f7bc9118c1,total-annual-report-2022.pdf,book_equity p.39; shares_outstanding p.67; unit p.39,"Single-company statement reports total equity N'000 50,286,810; EPS note states 339,521,837 ordinary shares and that the denominator is based on issued and paid shares at year end. NGX release calendar records filing of FY2022 audited statements on 2023-03-30.",2023-03-30,ACTUAL_PUBLICATION_DATE
DANGCEM,2023-12-31,2024-03-04,1691034000000,16752154537,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,dangcem-annual-report-2023,https://www.dangotecement.com/wp-content/uploads/2024/04/DCP-Annual-Report_AR23_full.pdf,6078aa26746e208f32e092a6576bc8d1f97c0797339f016b4419cd167b6d3b39,dangcem-annual-report-2023.pdf,book_equity p.112; shares_outstanding p.91; unit p.112,"Group equity attributable to owners, excluding non-controlling interest. Residual issued and fully paid shares after treasury-share buybacks. Publication date is the official FY2023 audited-results release date.",2024-03-04,ACTUAL_PUBLICATION_DATE
ACCESSCORP,2023-12-31,,2110085000000,35545225622,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,accesscorp-annual-report-2023,https://theaccesscorporation.com/ACCESS-HOLDINGS-PLC-2023-ANNUAL-REPORT.pdf,eade1a6eea5826d023471f868e7da4abc4a27166558b43fe5f6716eb535e4afb,accesscorp-annual-report-2023.pdf,book_equity p.154; shares_outstanding p.415; unit p.154,"Group equity attributable to owners is N'million 2,110,085, excluding NCI. Note 38 reports 35,545,225,622 issued and fully paid ordinary shares. The NGX calendar entry found was a proposed release date, not evidence of actual filing; 90-day fixed-lag policy applies.",2024-03-30,FIXED_LAG_ESTIMATE
OKOMUOIL,2022-12-31,2023-03-30,34033866000,953910000,,,,,,NGN,1000,1,company_as_reported_single_statement_scope,okomuoil-annual-report-2022,https://okomunigeria.com/wp-content/uploads/2023/05/2022-Annual-reports-and-accounts.pdf,8bbc96cccfd5e3e0ce4c9bf14aca9fd8cb8eb8af0e48a206db7467a3ecc6874e,okomuoil-annual-report-2022.pdf,book_equity p.37; shares_outstanding p.19; unit p.37,"Single-company statement reports total equity N'000 34,033,866; history of share capital reports 953,910,000 issued and fully paid shares at 31 December 2022. NGX release calendar records FY2022 audited statements filing on 2023-03-30.",2023-03-30,ACTUAL_PUBLICATION_DATE
OKOMUOIL,2023-12-31,2024-03-29,38874530000,953910000,,,,,,NGN,1000,1,company_as_reported_single_statement_scope,okomuoil-annual-report-2023,https://okomunigeria.com/wp-content/uploads/2024/05/Annual-reports-and-accounts.pdf,67c4520b80d1f6b977fb06740da7371cbf95af0be002d6cf75ee3ec13f12d40b,okomuoil-annual-report-2023.pdf,book_equity p.34; shares_outstanding p.74; unit p.34,"Total equity on the single statement presented, N'000 38,874,530; the statement does not show separate group/company columns. Issued called-up share capital note reports 953,910,000 ordinary shares at N0.50 each. Official NGX release calendar records FY2023 audited financial statements filing on 2024-03-29; board approval was 2024-03-28.",2024-03-29,ACTUAL_PUBLICATION_DATE
NB,2023-12-31,2024-02-14,63284377000,10276132378,,,,,,NGN,1000,1,consolidated_attributable_to_owners,nb-annual-report-2023,https://www.nbplc.com/storage/2024/05/NB-Plc-2023-Annual-Report-and-Accounts-FA.pdf,82afe8cf98e22cbb053877ff7bc8e4ae406f8e19e50179ec5517e9bca55c9014,nb-annual-report-2023.pdf,book_equity p.64; shares_outstanding p.81; unit p.64,"Group equity attributable to owners, N'000 63,284,377; company-only equity is N'000 65,168,612. Note 23 reports 10,276,132,378 issued and fully paid ordinary shares. Official NGX release calendar records FY2023 audited financial statements filing on 2024-02-14.",2024-02-14,ACTUAL_PUBLICATION_DATE
